Date,GDP_Growth_Rate,Unemployment_Rate,Inflation_Rate,Interest_Rate,Stock_Market_Index,Consumer_Confidence,Investment_Rate,Exports,Imports,Government_Spending,Private_Consumption,Industrial_Production,Housing_Index,Target_Economic_Output
2021-08-01,5.2,5.2,3.5,0.25,4386.7,99.8,23.2,2650.2,2950.3,435.2,4180.6,110.8,352.4,5.3
2021-09-01,5.1,5.1,3.8,0.25,4354.2,98.9,23.0,2680.5,3000.2,430.1,4220.8,111.0,354.8,5.2
2021-10-01,5.0,4.9,4.1,0.25,4704.1,98.2,22.8,2720.3,3050.4,425.3,4270.5,111.1,356.5,5.0
2021-11-01,4.9,4.6,4.5,0.25,4808.8,97.5,22.6,2760.2,3100.3,420.2,4320.6,111.2,357.3,4.9
2021-12-01,4.8,4.2,4.8,0.25,4766.2,96.8,22.3,2800.5,3150.2,415.1,4370.8,111.3,358.1,4.8
2022-01-01,4.5,4.0,5.1,0.25,4766.2,95.5,21.9,2850.3,3200.4,410.3,4420.5,111.1,358.2,4.4
2022-02-01,4.2,3.8,5.5,0.5,4355.3,92.1,21.2,2820.2,3250.3,405.2,4380.6,110.8,356.4,3.9
2022-03-01,3.8,3.6,6.0,0.75,4530.4,89.3,20.5,2790.5,3220.2,400.1,4330.8,110.5,354.2,3.5
2022-04-01,3.2,3.7,6.3,1.0,4131.9,84.2,19.8,2760.3,3190.4,395.3,4280.5,110.2,351.8,3.1
2022-05-01,2.6,3.6,6.8,1.25,3801.8,78.5,19.0,2730.2,3160.3,390.2,4230.6,109.8,349.1,2.4
2022-06-01,2.0,3.6,7.1,1.5,3749.6,72.3,18.2,2700.5,3130.2,385.1,4180.8,109.3,346.2,1.9
2022-07-01,1.5,3.5,7.4,1.75,3810.5,70.8,17.5,2690.3,3110.4,380.3,4140.5,108.9,343.5,1.5
2022-08-01,1.2,3.7,7.6,2.0,3789.6,69.2,16.9,2680.2,3100.3,375.2,4100.6,108.4,340.8,1.2
2022-09-01,0.9,3.5,8.0,2.25,3585.6,65.1,16.2,2670.5,3090.2,370.1,4060.8,107.9,337.9,0.8
2022-10-01,0.8,3.5,8.2,2.5,3386.2,62.5,15.8,2660.3,3080.4,365.3,4030.5,107.5,335.2,0.7
2022-11-01,1.1,3.5,8.0,2.75,3965.3,64.8,16.2,2670.2,3090.3,360.2,4050.6,107.8,336.5,1.0
2022-12-01,1.4,3.5,7.8,3.0,3839.5,67.2,16.8,2690.5,3110.2,355.1,4090.8,108.1,338.1,1.3
2023-01-01,1.8,3.4,7.5,3.0,3824.3,69.5,17.5,2710.3,3130.4,350.3,4130.5,108.5,340.2,1.7
2023-02-01,2.1,3.4,7.2,3.0,3968.3,72.1,18.1,2730.2,3150.3,345.2,4170.6,108.9,342.4,2.0
2023-03-01,2.4,3.3,6.9,3.0,4109.3,74.8,18.8,2750.5,3170.2,340.1,4210.8,109.3,344.8,2.3
2023-04-01,2.7,3.3,6.5,3.0,4288.4,77.2,19.4,2780.3,3200.4,335.3,4260.5,109.8,347.2,2.6
2023-05-01,2.9,3.8,6.2,3.0,4283.0,78.5,19.9,2810.2,3230.3,330.2,4310.6,110.2,349.5,2.8
2023-06-01,3.1,4.0,5.9,3.0,4445.9,79.8,20.3,2840.5,3260.2,325.1,4360.8,110.6,351.8,3.0
2023-07-01,3.2,3.8,5.6,3.0,4551.8,80.5,20.7,2870.3,3290.4,320.3,4410.5,110.9,354.1,3.1
2023-08-01,3.2,3.8,5.3,3.0,4483.1,80.1,20.9,2900.2,3320.3,315.2,4460.6,111.2,356.2,3.1
2023-09-01,3.1,3.8,5.0,3.25,4338.2,78.9,20.6,2930.5,3350.2,310.1,4510.8,111.4,358.1,3.0
2023-10-01,3.0,3.8,4.7,3.25,4117.5,77.2,20.2,2960.3,3380.4,305.3,4560.5,111.6,360.0,2.9
2023-11-01,3.0,3.7,4.4,3.25,4594.9,79.5,20.5,2990.2,3410.3,300.2,4610.6,111.8,361.8,2.9
2023-12-01,3.1,3.7,4.1,3.25,4769.8,81.8,20.9,3020.5,3440.2,295.1,4660.8,112.0,363.5,3.0
2024-01-01,3.2,3.7,3.8,3.25,4958.3,83.5,21.3,3050.3,3470.4,290.3,4710.5,112.2,365.2,3.1
2024-02-01,3.3,3.9,3.5,3.25,5127.2,84.2,21.7,3080.2,3500.3,285.2,4760.6,112.4,366.8,3.2
2024-03-01,3.4,3.8,3.2,3.5,5160.2,84.9,22.1,3110.5,3530.2,280.1,4810.8,112.6,368.4,3.3
2024-04-01,3.4,4.0,3.0,3.5,5283.5,85.3,22.4,3140.3,3560.4,275.3,4860.5,112.8,370.0,3.3
2024-05-01,3.3,4.1,2.8,3.5,5438.1,86.1,22.7,3170.2,3590.3,270.2,4910.6,112.9,371.5,3.2
2024-06-01,3.2,4.2,2.6,3.5,5516.8,86.8,22.9,3200.5,3620.2,265.1,4960.8,113.1,373.0,3.1
